question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what movies was [James Brolin] an actor in,"Westworld|The Master of Disguise|Capricorn One|Love, Wedding, Marriage|The Car|Skyjacked|High Risk|The Expert","love, wedding, marriage","The Amityville Horror, Catch Me If You Can, Traffic, Westworld, Hotel, Capricorn One, The Car, Gable and Lombard",the last time i saw marilyn manson i was eating a cookie and she was in the kitchen with me -> the last time i saw marilyn manson i was eating a cookie...and she was in the kitchen with me...and she
what movies was [Anka Graczyk] an actor in,Rammbock,rammbock,N/A,the man who knew too little
what films did [Susie Porter] star in,Better Than Sex|The Monkey's Mask,better than sex,The Monkey's Mask | Two Hands | Star Wars: Episode II – Attack of the Clones | Better Than Sex | The Society Murders | Little Fish |  East West 101 | The Caterpillar Wish | Love My Way | The Monster of,the man who would be king
what films did [Ruby Wong] star in,PTU,ptu,N/A,the last emperor 2: the young emperor's last days
what movies did [Henry Scott] act in,Anna Lucasta,anna lucasta,"N/A (As an AI language model, I do not have access to real-time information or data about whether any person named Henry Scott has acted in any movies.)",the man who loved women too much
[Kevin Gage] appears in which movies,Chaos,chaos,Heat|G.I. Jane|Blow|L.A. Confidential|The 'Burbs|May|Fear|Con Air|American History X|The Insider|Pearl Harbor|13|The Killing Jar|In Enemy Hands|Chaos, The Last Starfighter 2
what does [Mac Davis] star in,North Dallas Forty|The Sting II,north dallas forty,"N/A (Mac Davis passed away on September 29, 2020 and did not have any upcoming or recent acting projects at the time of his passing. However, he did appear in some movies and television shows in the past, including North",the man who shot liberty valance 2nd edition
what does [Steve Lawrence] star in,The Lonely Guy,the lonely guy,N/A,the bachelor party ii
[Man San Lu] appears in which movies,The Scent of Green Papaya,the scent of green papaya,N/A, The Last Emperor
what does [Camilla Sparv] star in,Mackenna's Gold|Downhill Racer|Dead Heat on a Merry-Go-Round,mackenna's gold,Dead Heat on a Merry-Go-Round | Downhill Racer | The Trouble with Girls | Mackenna's Gold | The High Commissioner | A Case of Libel | Murderers' Row | The Impossible Years | Assignment to Kill | Nobody Runs,the girl who played with fire
what does [Russell Means] star in,The Last of the Mohicans|Pathfinder|29 Palms,pathfinder,The Last of the Mohicans., the last of the mohicans 2: the legend of the lost tribe of the ojibway 2: the legend of the lost tribe of the ojibway 2: the legend of the lost tribe of the ojibway 2
what movies did [John Benjamin Hickey] act in,Finding North,finding north,The Taking of Pelham 123 | Transformers: Revenge of the Fallen | Flags of Our Fathers | The Bone Collector | The General's Daughter | The Invasion | Flightplan | Pitch Perfect.,the last of the mohicans 2: the legend of the lost tribe of the ojibway
what does [Luana Anders] appear in,Dementia 13,dementia 13,Easy Rider|The Pit and the Pendulum|Dementia 13|The Killing Kind|The Last Detail|Shadows and Fog|The Trip|The Manitou|Ferris Bueller's Day Off|The Brady Bunch Movie|,the man who would be king
what does [Katherine Clisby] appear in,Everything,everything,N/A,the man who loved women too much
what films did [Thomas Mann] act in,Project X,project x,Me and Earl and the Dying Girl | Project X| Kong: Skull Island| The Highwaymen., the good earth
what does [Aleksey Batalov] star in,Moscow Does Not Believe in Tears,moscow does not believe in tears,The Cranes are Flying | Moscow Does Not Believe in Tears | The Lady with the Dog | The Alive and the Dead | The Wedding | The Elusive Avengers | We'll Live Till Monday | Simple Things | Siberiade | Afonya |,the man from nowhere 2
what movies was [Clayton Moore] an actor in,Black Dragons|The Lone Ranger|The Lone Ranger and the Lost City of Gold,the lone ranger and the lost city of gold,The Lone Ranger|Jesse James Rides Again|The Lone Ranger and the Lost City of Gold|The Lone Ranger Rides Again|The Lone Ranger and the Masked Marvel|The Lone Ranger vs. the Shadow Riders|The Lone Ranger|, the man who shot liberty valance 2nd edition
what does [Kiefer Sutherland] star in,"Phone Booth|Dark City|Mirrors|Flatliners|The Sentinel|Young Guns|The Three Musketeers|Young Guns II|Freeway|The Wild|The Vanishing|To End All Wars|The Cowboy Way|Bright Lights, Big City|Truth or Consequences, N.M.|Flashback|1969|Desert Saints|Article 99|Renegades|River Queen|After Alice|Break Up|The Nutcracker Prince|Promised Land",the sentinel,Designated Survivor|24|The Lost Boys|A Few Good Men|Melancholia|Touch|Dark City|Young Guns|Stand by Me|Phone Booth|Flatliners|Forsaken|The Confession|Metal Gear Solid V, the lost world: the darwin project
what does [Emraan Hashmi] star in,Shanghai,shanghai,"Once Upon a Time in Mumbaai, The Dirty Picture, Jannat, Murder, and many other Bollywood movies.",karan aur karan aur karan 2
what films does [Jennifer Saunders] appear in,Muppet Treasure Island,muppet treasure island,French and Saunders | Absolutely Fabulous: The Movie | Coraline | Minions | Spice World | Shrek 2 | Shrek the Third | Stick Man | Goodbye Christopher Robin | Absolutely Fabulous: The Movie 2 | Sing 2, the wedding singer 2: the wedding singer strikes back!
what films does [Ray Lovelock] appear in,Let Sleeping Corpses Lie,let sleeping corpses lie,"The Living Dead at Manchester Morgue | Seven Blood-Stained Orchids | Fiddler on the Roof | Live Like a Cop, Die Like a Man | Violent Rome | Oasis of Fear | Let Sleeping Corpses Lie | Revolver | La",the man who would be king 2: the king is back!
what does [Tom Burke] act in,Donkey Punch|Third Star,third star,Strike | War & Peace | The Musketeers | Only God Forgives | Third Star | The Souvenir Part II | Mank | Cormoran Strike: Lethal White,the man who knew too little 2nd edition
what does [Josephine Hull] act in,Harvey,harvey,Harvey | Arsenic and Old Lace | The Lady Eve | After Tomorrow | The Cat and the Canary | The Perfect Marriage | The Runaway Bride | Life with Father | The Time of Your Life | Bonanza (TV series), the man who shot liberty valance 2nd edition
[Thi Loc Truong] appears in which movies,The Scent of Green Papaya,the scent of green papaya,N/A (There is no information available about Thi Loc Truong's movies), The Last Supper 2
what movies did [Joanna Gleason] act in,Into the Woods,into the woods,Boogie Nights|Hannah and Her Sisters|Mr. Holland's Opus|The Wedding Planner|The Good Wife (TV Series)|The Women|Last Vegas|Sex and the City 2|Friends (TV Series),the last of the mohicans 2: the legend of the lost tribe of the ojibway
what does [Bug Hall] appear in,"Honey, We Shrunk Ourselves","honey, we shrunk ourselves","The Little Rascals | Honey, We Shrunk Ourselves | The Stupids | American Pie Presents: The Book of Love | Mortuary | Criminal Minds | Castle | Revolution | Dallas | The Long Shadow | The AristoCats",the last of the mohicans 2
what movies did [Andrew Robertson] act in,The Cement Garden,the cement garden,"N/A (As there are multiple persons with the name Andrew Robertson who have acted in movies, more specific information is required.)", the last of the mohicans 2
what movies was [Tom Malloy] an actor in,The Alphabet Killer,the alphabet killer,Prey for Rock and Roll | The Alphabet Killer | Gravesend | Love N' Dancing | The Attic | The Alphabet Killer | Screamers | Asher | Fair Market Value | Hero of the Underworld | Trauma Therapy | Fair Market,the last of the mohicans 2: the legend of the lost tribe of the ojibway's
what films did [Rita Wilson] star in,Jingle All the Way,jingle all the way,Sleepless in Seattle|Mixed Nuts|Jingle All the Way|Now and Then|That Thing You Do!|The Story of Us|Runaway Bride|Raise Your Voice|It's Complicated|Mamma Mia!|My Big Fat,the last time i saw harry...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...i was eating a cookie...
what movies was [Josh Wiggins] an actor in,Hellion,hellion,Lost in the Sun|Max|Hellion|Walking Out,the last song on earth
what does [D.L. Hughley] appear in,The Original Kings of Comedy|The Brothers,the original kings of comedy,The Hughleys | The Original Kings of Comedy | Scrubs | Studio 60 on the Sunset Strip | Dancing with the Stars | black-ish | The Comedy Get Down | The Fix | A Million Little Things | Fresh Off the Boat | Heartbeat |, the game plan
what films did [Emma Thompson] act in,Brave|Saving Mr. Banks|In the Name of the Father|Nanny McPhee|The Remains of the Day|Primary Colors|Howards End|Last Chance Harvey|Wit|The Tall Guy|Judas Kiss|The Winter Guest,the remains of the day,Sense and Sensibility|Love Actually|Harry Potter and the Prisoner of Azkaban|Nanny McPhee|Beauty and the Beast|Saving Mr. Banks|Much Ado About Nothing|The Remains of the Day|The Children, the greatest story ever told
what movies did [Youssouf Djaoro] act in,A Screaming Man,a screaming man,Daratt|A Screaming Man|White Material|Grigris|Un homme qui crie|Matière grise|Aube dorée|Abouna|Toula or the Genie of the Water|Saraka bo, the man who loved women too much
what does [Arin Crumley] appear in,Four Eyed Monsters,four eyed monsters,N/A, the last of the mohicans 2
what does [Stephen Mendillo] star in,City of Hope,city of hope,N/A,the last of the mohicans 2
what films does [Claude Mann] appear in,Bay of Angels|India Song,bay of angels,N/A, the man who shot liberty valance
what movies did [Greg Kinnear] star in,Little Miss Sunshine|As Good as It Gets|Ghost Town|The Last Song|Stuck in Love|Invincible|Stuck on You|Baby Mama|Nurse Betty|Sabrina|Unknown|Heaven Is for Real|Bad News Bears|I Don't Know How She Does It|Feast of Love|Auto Focus|What Planet Are You From?|The English Teacher|Thin Ice|Dear God|A Smile Like Yours,invincible,As Good as It Gets | You've Got Mail | Nurse Betty | Little Miss Sunshine | Ghost Town | Stuck in Love | Heaven Is for Real | Brigsby Bear | Same Kind of Different as Me | I Don't Know How She Does,the hottie and the nottix 2
what movies was [Michael Pergolani] an actor in,The Inglorious Bastards,the inglorious bastards,N/A (There is no information available about an actor named Michael Pergolani), the man who would be king 2: the king is back!
what films did [Joan Lorring] act in,The Verdict|Three Strangers|The Big Night,the verdict,The Edge of Doom | The Verdict | Three Strangers | Song of Russia | The Bridge of San Luis Rey | The Big Night | The Magnetic Monster | My Pal Gus | Two of a Kind | The System | The Monitors | The Girl,the man who knew too much
[Jimi Mistry] appears in which movies,The Guru,the guru,The Guru | Blood Diamond | Partition | Exam | The Truth About Love | The Mystic Masseur | RocknRolla | West is West | Dead Man Running | Baseline | The Wedding Video | Ella Enchanted, the last kiss
what movies did [Anthony Andrews] star in,Haunted|The Scarlet Pimpernel|Under the Volcano|Ivanhoe,the scarlet pimpernel,The King's Speech|Mansfield Park|Operation Daybreak|The Scarlet Pimpernel|David Copperfield|Haunted Honeymoon|The Holcroft Covenant|Sunset|Under the Volcano are some of the movies Anthony Andrews starred in,the man who knew too much
what films did [Richard Garland] star in,The Undead,the undead,N/A,the man who would be king
what films did [Carlos Mencia] act in,Our Family Wedding,our family wedding,The Heartbreak Kid|Our Family Wedding|The Proud Family Movie (voice),the man who knew too little 2nd edition
what films did [Rachel Hendrix] star in,October Baby,october baby,October Baby | The Perfect Wave | 77 Chances | Anomalous | Coffee Shop,the last word in hendrixville
what films does [Stacy Keach] appear in,Planes|Fat City|The Mountain of the Cannibal God|Gray Lady Down|The New Centurions|Butterfly|That Championship Season,the mountain of the cannibal god,American History X|The Bourne Legacy|Escape from L.A.|The Great White Hype|The Long Riders|The New Centurions|The Ninth Configuration|Planes|Sin City: A Dame to Kill For|The Solar Conspiracy|, the last of the mohicans 2: the dalton way
[Briana Evigan] appears in which movies,S. Darko|Burning Bright|The Devil's Carnival|Lap Dance|Stash House|Mine Games,s. darko,Step Up 2: The Streets | Sorority Row | Step Up All In | Burning Bright | The Devil's Carnival: Alleluia! | ToY | She Loves Me Not | Mine Games | Something Sweet | Stash House | R, The Perfect Game
what movies did [Sid Haig] act in,The Devil's Rejects|House of 1000 Corpses,the devil's rejects,"The House of 1000 Corpses | The Devil's Rejects | Kill Bill: Vol. 2 | Jackie Brown | Foxy Brown | Coffy | Diamonds Are Forever | Spider Baby or, the Maddest Story Ever Told | TH", the man with the golden arm
what does [Olga Tudorache] appear in,An Unforgettable Summer,an unforgettable summer,N/A, the man from nowhere
[James Belushi] appears in which movies,Red Heat|K-9|Salvador|Mr. Destiny|The Principal|Taking Care of Business|Gang Related|K-911|Real Men|Race the Sun|Traces of Red,real men,Red Heat|The Principal|K-9|Curly Sue|Jingle All the Way|Underdog|The Ghost Writer|The Whole Truth|The Defection of Simas Kudirka|The Fury|The Man with One Red, The Man with Two Brains
what films does [Kate Bosworth] appear in,Superman Returns|21|Homefront|Still Alice|Straw Dogs|Blue Crush|Win a Date with Tad Hamilton!|The Warrior's Way|Wonderland|Beyond the Sea|Black Rock|The Girl in the Park,21,Blue Crush | Superman Returns | Still Alice | 21 | The Horse Whisperer | Beyond the Sea | Win a Date with Tad Hamilton! | Straw Dogs | The Warrior's Way | Homefront | Before I Wake | The Long Road Home (, the last kiss 2: the sequel to the last kiss
what does [Jack Ashford] act in,Standing in the Shadows of Motown,standing in the shadows of motown,"N/A (Jack Ashford is a musician and producer, not an actor)", the man who shot liberty valance 2nd edition -> the man who shot liberty valance 2nd edition -> the man who shot liberty valance 2nd edition -> the man who shot liberty valance 2nd edition -> the man who shot liberty val
what does [Laurie Metcalf] star in,Dear God,dear god,"Lady Bird | The Conners | Toy Story 4 | The Big Bang Theory | A Doll's House, Part 2 | Desperately Seeking Susan | Roseanne | Bullets Over Broadway | Horace and Pete | Getting On | The Spare",the big chill ii: winter of the ice beast! -> the big chill ii: winter of the ice beast! ii -> the big chill ii: winter of the ice beast! ii -> the big chill ii: winter of the ice beast! ii
